engine_id,cylinder,n_cylinders,mV_0,mV_1,mV_2,mV_3,mV_4,mV_5,mV_6,mV_7,mV_8,mV_9,mV_10,mV_11,mV_12,mV_13,mV_14,mV_15,mV_16,mV_17,mV_18,mV_19,mV_20
train_0000,1,8,36.54,30.853,30.151,38.282,46.675,52.82,57.832,61.61,63.124,63.287,57.697,49.396,41.547,36.033,,30.71,32.083,,39.5,39.596,39.303
train_0000,2,8,33.039,26.858,27.675,36.18,45.002,51.62,56.358,59.329,60.461,60.544,55.188,47.59,40.113,34.609,31.315,29.513,30.66,,37.939,,37.765
train_0000,3,8,38.912,31.902,32.575,41.89,51.811,59.472,65.191,68.415,68.904,68.583,63.237,55.083,46.332,39.431,34.972,32.312,32.739,36.085,40.671,42.016,40.649
train_0000,4,8,33.946,32.945,32.47,33.952,31.874,14.059,19.812,35.404,37.06,36.556,35.714,34.937,33.539,,,34.127,36.913,,42.653,45.451,47.646
train_0000,5,8,40.085,32.322,32.096,42.059,52.462,59.783,65.293,69.231,70.106,69.582,65.312,57.427,48.44,41.278,36.94,34.451,33.854,36.103,40.131,43.791,43
train_0000,6,8,27.441,28.087,30.246,31.911,32.345,32.642,34.446,35.967,36.305,34.96,31.743,26.653,22.25,19.603,21.096,31.594,46.362,46.274,33.088,24.976,22.702
train_0000,7,8,30.814,25.424,29.91,38.593,46.839,53.866,59.331,61.731,61.65,61.252,56.291,49.169,41.368,34.506,29.729,27.607,29.2,32.927,37.534,38.835,37.757
train_0000,8,8,34.441,28.227,32.125,39.942,44.98,49.46,45.74,44.274,44.116,39.339,36.419,29.427,22.699,15.278,11.466,14.358,20.142,23.817,28.575,28.278,22.153
train_0001,1,8,42.532,38.056,27.478,32.478,,48.817,55.722,59.518,61.562,62.004,59.401,58.463,55.695,50.622,45.509,37.664,31.452,20.678,12.401,21.007,21.454
train_0001,2,8,40.168,36.697,26.531,31.399,40.246,48.648,55.261,58.711,60.688,61.205,59.02,58.407,55.857,50.871,,39.481,32.975,22.488,10.544,20.504,20.025
train_0001,3,8,41.478,35.608,25.611,33.981,42.663,51.336,,60.95,62.849,62.996,60.094,59.083,56.244,50.49,45.832,38.745,32.715,23.91,10.069,18.344,20.087
train_0001,4,8,39.64,36.654,26.401,28.114,,45.412,52.449,56.397,58.874,59.797,57.335,56.057,53.139,47.849,43.472,36.544,30.57,19.847,9.394,18.837,18.925
train_0001,5,8,42.01,,27.187,35.993,44.725,52.882,58.919,61.931,63.535,64.004,61.862,61.066,58.29,53.406,49.567,42.459,36.182,27.089,13.615,23.079,24.625
train_0001,6,8,40.747,34.821,25.46,34.524,,50.757,56.699,60.215,62.651,63.019,59.79,58.26,,49.866,46.209,39.694,33.556,23.52,9.548,19.259,19.121
train_0001,7,8,39.07,32.136,23.922,32.82,41.22,49.997,56.194,59.077,60.684,60.922,59.007,58.023,54.02,48.389,43.005,35.402,28.605,16.645,7.481,16.699,
train_0001,8,8,43.589,36.573,29.153,38.858,47.559,56.212,62.054,64.747,66.281,66.493,64.669,64.002,60.416,54.875,48.953,40.68,33.637,21.979,14.316,24.17,24.581
train_0002,1,8,45.283,40.168,29.943,,45.143,53.352,59.481,62.82,65.46,66.795,64.608,63.689,61.142,55.974,50.91,43.207,37.465,27.8,,24.808,24.789
train_0002,2,8,49.207,47.505,38.3,34.749,45.528,55.107,63.713,69.109,72.237,73.98,72.885,71.43,68.566,62.484,57.037,48.682,41.044,,15.733,25.968,27.159
train_0002,3,8,46.986,41.495,32.099,41.016,49.124,57.349,63.564,66.744,69.099,70.607,68.968,68.105,64.225,58.268,53.725,46.015,39.104,28.3,15.229,26.456,26.896
train_0002,4,8,41.409,35.31,22.644,12.741,23.773,37.758,45.932,46.541,45.299,43.221,41.148,,35.743,30.622,31.783,30.932,27.51,23.737,13.299,16.994,11.305
train_0002,5,8,43.246,38.225,9.766,14.998,25.93,30.54,37.895,40.275,38.616,37.815,35.938,32.108,29.245,25.027,22.425,18.237,15.164,7.86,1.222,1,1
train_0002,6,8,45.773,42.734,32.185,36.187,45.851,55.08,62.377,65.901,68.067,69.291,67.228,65.98,62.37,56.709,52.363,44.456,37.235,25.304,13.708,24.598,24.668
train_0002,7,8,47.987,,31.734,40.615,49.413,58.58,65.944,69.901,71.811,71.767,68.997,68.291,64.87,,,46.018,39.257,28.046,15.775,27.908,28.586
train_0002,8,8,45.87,41.53,30.97,36.128,45.417,54.151,61.217,65.437,68.134,69.308,67.426,65.574,62.943,58.384,54.721,48.456,41.402,32.429,17.244,20.193,26.979
train_0003,1,8,36.322,30.31,27.351,42.365,47.544,51.126,54.371,56.936,58.929,59.262,58.051,55.603,51.482,46.266,38.814,29.622,29.391,32.289,36.041,35.61,34.604
train_0003,2,8,26.709,15.598,4.236,37.712,46.418,48.749,49.773,44.057,41.614,28.389,47.427,58.304,60.091,,51.133,43.287,41.814,43.233,45.876,41.692,38.984
train_0003,3,8,30.639,28.408,20.207,31.609,37.998,41.032,43.78,46.441,48.839,49.788,49.565,48.316,44.721,40.22,33.656,24.51,23.356,25.512,28.991,29.446,29.96
train_0003,4,8,31.834,24.028,23.874,36.701,41.475,45.248,48.314,50.362,51.683,51.35,50.29,48.108,44.171,38.66,30.677,22.557,24.089,27.671,31.49,31.67,31.106
train_0003,5,8,33.653,28.669,21.607,34.684,40.712,44.62,47.047,49.078,51.904,53.361,52.354,50.067,46.509,,35.001,25.598,23.925,27.313,32.125,32.775,32.224
train_0003,6,8,32.332,28.113,20.225,35.015,42.226,46.48,49.572,52.044,54.477,55.104,53.738,51.475,47.984,42.946,34.614,24.354,24.259,,31.565,31.968,31.647
train_0003,7,8,32.334,29.318,20.523,33.987,42.36,46.192,48.917,51.146,53.31,54.266,53.667,51.976,47.874,42.065,34.139,24.943,25.474,28.971,33.308,33.67,33.249
train_0003,8,8,34.15,28.041,25.272,40.531,45.664,49.04,52.037,54.359,56.018,,55.893,,50.24,,37.113,27.437,26.549,29.837,34.854,35.842,35.835
train_0004,1,8,40.684,30.778,34.111,41.977,49.84,57.033,62.023,64.678,,64.087,,,56.295,51.949,47.749,41.392,,25.12,14.841,24.008,24.582
train_0004,2,8,37.882,30.563,31.102,39.509,47.069,54.199,58.904,61.158,61.93,61.117,59.971,58.675,54.528,49.526,43.582,36.623,29.165,16.906,13.944,22.609,23.275
train_0004,3,8,37.985,27.469,34.01,42.511,50.937,57.886,61.766,63.891,64.736,63.263,61.286,59.199,55.002,50.827,46.33,39.547,32.552,20.867,11.255,20.739,20.298
train_0004,4,8,40.559,31.033,37.157,45.463,53.859,60.535,63.864,65.547,66.48,65.435,64.629,62.254,56.783,,45.209,38.482,31.019,18.074,16.67,24.677,24.955
train_0004,5,8,41.169,31.196,,44.569,53.193,59.969,64.179,67.533,68.969,66.774,64.789,62.91,58.36,53.443,47.071,40.14,32.843,19.479,15.062,23.363,24.016
train_0004,6,8,39.668,29.457,32.763,40.906,48.478,54.985,59.188,61.75,63.049,62.649,60.694,60.024,57.484,52.831,47.934,39.925,33.888,25.994,13.193,18.92,
train_0004,7,8,41.517,29.505,39.925,28.399,40.677,53.691,59.151,59.01,57.337,52.342,44.284,36.033,29.146,24.084,29.108,29.517,30.669,28.825,35.791,35.451,29.352
train_0004,8,8,35.765,28.418,30.396,38.581,,53.264,56.928,58.361,59.468,59.385,58.38,56.563,51.771,46.594,41.427,35.753,29.805,18.751,14.811,21.88,20.792
train_0005,1,8,38.372,32.425,23.601,27.057,36.146,46.136,51.708,53.383,53.93,52.457,51.067,50.058,46.03,,,33.405,25.59,12.343,17.529,,15.678
train_0005,2,8,41.74,36.505,26.593,35.534,44.629,53.717,60.298,64.034,66.822,67.492,65.538,63.42,58.311,53.268,46.844,40.123,31.554,15.388,,,25.579
train_0005,3,8,38.411,34.286,26.448,35.534,43.887,51.594,56.88,59.604,61.494,61.897,60.56,58.924,54.331,49.588,43.322,36.77,27.766,12.918,20.611,23.23,23.383
train_0005,4,8,37.13,32.23,22.955,33.134,46.447,53.816,59.306,61.159,57.885,,56.135,61.493,61.022,57.418,52.044,46.469,39.418,24.416,27.258,29.68,27.696
train_0005,5,8,38.897,34.503,25.12,33.018,41.326,49.612,56.006,59.797,62.107,62.215,59.569,57.855,53.981,49.423,44.377,37.763,30.39,16.631,16.466,23.797,24.046
train_0005,6,8,36.824,33.843,24.686,29.207,36.748,,51.078,54.781,57.363,58.413,56.405,54.813,51.021,46.256,40.239,33.626,26.096,11.876,16.04,20.647,21.996
train_0005,7,8,41.287,33.701,30.454,39.409,47.386,54.355,58.746,61.915,64.565,,62.766,60.369,55.665,51.545,45.737,38.986,30.521,16.07,19.215,24.414,24.473
train_0005,8,8,41.611,36.705,27.247,35.591,44.67,53.574,59.933,62.936,64.837,65.67,63.528,62.113,58.347,53.309,48.324,40.7,33.151,20.249,15.034,24.486,25.38
train_0006,1,12,36.6,29.745,26.172,33.124,41.581,48.556,54.902,59.791,61.115,60.427,56.391,,42.204,36.333,31.734,29.071,29.298,32,35.502,,34.96
train_0006,2,12,32.297,27.194,21.169,24.959,34.232,42.454,48.263,52.208,53.875,54.45,52.704,45.892,38.065,31.374,26.313,22.631,21.738,25.008,30.117,32.77,31.913
train_0006,3,12,35.748,28.074,24.217,32.081,42.341,50.203,55.77,59.725,60.856,60.765,58.07,51.406,43.607,37.103,,29.227,28.668,30.996,34.575,36.911,35.694
train_0006,4,12,,28.337,22.264,26.083,36.249,45.256,51.651,55.849,,57.437,55.642,49.3,41.821,34.436,28.578,25.479,,29.22,33.636,35.487,33.881
train_0006,5,12,35.047,29.211,,29.623,39.297,47.576,53.821,58.522,60.577,,59.951,53.51,45.002,36.879,31.192,28.188,27.638,30.249,33.977,37.027,36.319
train_0006,6,12,34.01,28.759,24.515,29.501,37.281,44.311,50.276,54.764,56.186,56.387,54.009,47.293,39.177,32.77,28.529,25.849,26.132,29.118,33.095,35.197,35.762
train_0006,7,12,34.277,27.451,24.347,32.131,41.92,49.556,,59.282,60.745,61.125,58.863,51.685,43.204,36.378,31.946,29.387,28.751,31.133,34.875,37.938,
train_0006,8,12,34.592,26.744,22.305,29.411,38.951,46.688,52.817,57.449,59.291,59.725,57.333,49.767,41.686,35.706,31.367,27.531,24.962,26.69,31.142,35.342,34.131
train_0006,9,12,37.548,30.828,25.69,33.126,43.747,52.03,57.541,60.839,62.033,62.838,59.785,52.389,43.881,36.494,31.285,,29.036,32.786,37.935,39.713,39.332
train_0006,10,12,36.389,30.256,25.557,31.48,40.877,48.97,55.172,59.804,61.812,61.882,59.375,52.461,44.777,38.148,33.241,,28.797,31.107,35.265,38.468,37.316
train_0006,11,12,35.651,29.517,25.241,31.832,40.961,48.534,54.385,58.548,59.991,60.512,57.237,49.618,41.138,34.589,30.319,28.043,28.718,31.835,36.532,38.468,38.013
train_0006,12,12,38.27,31.443,26.859,32.851,41.711,49.492,55.706,60.43,62.568,62.843,61.109,54.923,47.71,40.944,35.38,31.125,28.833,30.445,33.91,38.001,37.682
train_0007,1,8,,23.528,13.622,19.215,42.174,50.878,56.529,57.614,48.648,32.078,45.789,50.988,49.166,45.245,43.814,46.38,51.374,53.525,49.901,47.287,47.372
train_0007,2,8,36.076,28.487,22.665,29.678,40.543,49.126,55.887,61.055,62.871,62.613,55.427,45.516,36.782,31.375,28.682,28.475,31.913,37.206,39.096,37.961,37.975
train_0007,3,8,36.322,30.545,25.716,28.82,38.73,47.025,48.57,52.301,51.519,48.884,43.729,35.508,28.761,22.233,18.818,22.289,28.266,32.217,33.408,32.532,32.07
train_0007,4,8,37.618,31.405,23.199,25.821,37.276,47.837,55.58,60.874,62.574,62.514,56.643,47.298,38.162,32.223,28.667,27.085,29.801,35.919,38.522,37.356,36.934
train_0007,5,8,39.395,34.181,26.608,30.327,40.77,50.359,57.969,62.454,63.396,63.012,55.578,45.854,37.758,32.501,29.364,30.372,34.916,40.493,40.008,40.393,40.602
train_0007,6,8,37.272,31.923,25.639,31.443,43.266,53.28,60.248,64.155,,,57.281,,37.985,32.978,30.73,32.322,36.503,41.451,40.452,40.506,40.623
train_0007,7,8,37.037,35.975,28.012,26.048,36.295,47.021,55.298,61.567,64.215,64.973,60.716,51.728,42.646,35.991,31.41,29.428,,38.216,40.374,39.611,39.43
train_0007,8,8,35.796,32.252,24.137,24.167,34.365,43.877,50.992,56.338,58.025,58.247,52.891,44.534,36.504,30.304,26.396,26.295,30.015,35.295,35.813,35.472,35.033
train_0008,1,8,44.197,37.919,39.244,25.186,36.108,46.804,51.577,51.738,49.902,44.459,35.385,25.466,18.44,16.959,24.294,30.093,32.886,43.311,35.179,38.145,36.349
train_0008,2,8,36.223,34.581,27.18,37.893,42.77,46.286,49.195,52.855,55.476,56.138,55.163,52.409,48.78,44.736,40.777,36.523,31.088,26.375,13.662,17.267,23.711
train_0008,3,8,42.706,38.955,34.711,44.724,49.093,53.145,57.387,61.859,63.864,,61.619,57.968,53.364,49.374,45.625,40.253,33.428,28.967,15.87,28.523,29.943
train_0008,4,8,33.476,37.816,38.904,46.739,49.181,52.385,55.22,56.908,48.574,,52.502,63.581,66.662,64.362,62.732,60.906,55.106,48.738,30.506,39.609,41.872
train_0008,5,8,44.571,38.298,35.617,46.015,51.63,56.544,61.073,65.066,66.053,,63.796,60.893,56.472,52.296,48.694,43.718,36.297,30.517,13.376,28.142,
train_0008,6,8,37.203,35.305,26.291,36.897,41.529,45.434,,53.755,55.844,55.909,55.259,53.346,50.014,45.208,40.857,36.506,30.603,25.771,14.468,16.767,24.495
train_0008,7,8,41.349,32.28,34.199,43.526,48.352,52.499,56.624,60.144,60.996,61.387,60.33,57.34,52.8,48.536,,41.093,34.453,,12.567,25.178,30.169
train_0008,8,8,39.589,33.238,32.23,41.503,46.531,50.837,54.441,57.575,58.614,58.431,56.971,54.57,51.668,48.248,45.046,41.17,35.202,30.13,19.414,22.094,29.594
train_0009,1,12,37.122,35.279,28.447,25.316,29.401,,35.426,38.921,38.406,36.777,35.516,,26.489,23.647,21.553,18.772,13.796,9.841,1,4.658,6.342
train_0009,2,12,34.984,32.651,,36.616,41.782,46.408,49.503,52.5,54.93,56.592,55.88,53.002,48.761,44.209,40.152,35.385,28.832,24.645,8.331,21.005,24.643
train_0009,3,12,39.969,39.366,25.945,36.716,43.517,49.704,54.627,58.756,60.896,61.098,59.565,56.406,52.29,47.967,44.011,38.605,30.759,25.348,9.828,23.848,27.076
train_0009,4,12,40.674,40.649,28.463,39.819,,50.883,54.545,58.05,60.557,61.351,61.239,58.636,54.718,50.373,46.795,42.078,34.7,28.499,16.479,19.507,27.11
train_0009,5,12,39.041,,20.803,20.957,27.231,35.247,39.343,41.662,41.871,39.928,39.602,35.731,30.98,26.892,27.45,25.631,19.958,16.336,4.341,14.034,14.322
train_0009,6,12,36.052,35.194,23.957,34.062,39.287,43.899,47.838,51.747,53.82,54.132,53.193,50.529,46.344,41.662,37.915,33.865,27.843,23.413,7.368,18.902,22.788
train_0009,7,12,38.487,39.293,27.627,36.933,42.153,46.289,,53.43,56.224,,,53.49,50.141,45.989,42.073,38.388,33.004,28.007,12.069,20.619,25.688
train_0009,8,12,43.192,32.218,15.07,34.01,43.876,47.168,49.97,53.508,51.102,43.88,53.575,57.249,56.268,53.536,51.074,47.195,40.567,35.358,18.888,28.955,30.972
